annee,sau_m_ha,sau_ha
1970,18.8359803456579,29904737
1979,23.3604959019347,29496574
1988,28.1245688489361,28595796
2000,41.9644761203181,27856313
2010,55.0296422076955,26963259
2020,68.6180502284628,26745875
